Age,Gender,Sleep_Hours,Screen_Time,Exercise_Minutes,Water_Intake,Work_Study_Hours,Stress_Level,Mood,Productivity_Score,Burnout_Risk
41,Male,4.3,11.4,14,4.2,4.8,9,Sad,17.6,High
28,Female,6.6,3.4,38,4.0,4.5,3,Neutral,83.8,Low
34,Female,4.4,6.6,68,1.4,7.8,6,Sad,42.99999999999999,High
25,Female,8.2,1.7,86,3.7,2.8,6,Stressed,95.89999999999999,Low
52,Female,7.1,10.8,78,3.4,7.2,6,Stressed,72.4,Medium
52,Female,4.9,11.8,88,3.9,2.9,5,Stressed,48.29999999999999,High
50,Male,4.1,2.6,59,2.9,5.4,2,Stressed,64.89999999999999,Medium
22,Male,4.2,4.3,93,2.1,8.9,1,Sad,76.3,Low
59,Male,6.5,1.2,43,3.7,6.1,5,Stressed,81.89999999999999,Low
56,Male,7.7,9.7,42,2.5,4.8,8,Sad,56.1,Medium
58,Male,4.6,4.4,3,1.9,8.2,10,Sad,23.699999999999996,High
45,Male,5.1,7.5,76,2.6,9.4,5,Neutral,63.0,Medium
24,Male,5.6,1.4,49,4.1,4.5,3,Neutral,80.5,Low
26,Female,5.1,8.9,103,2.9,5.0,3,Sad,66.3,Medium
25,Male,6.0,6.8,38,2.2,8.4,2,Neutral,73.8,Medium
29,Male,6.8,9.0,53,4.3,11.7,7,Stressed,77.5,Low
51,Male,7.4,9.7,22,4.5,4.1,2,Stressed,81.7,Low
50,Female,8.8,2.0,59,2.7,8.5,6,Sad,100.0,Low
40,Male,8.7,7.4,79,2.5,11.1,8,Sad,90.7,Low
41,Male,6.9,8.1,34,3.5,6.6,8,Stressed,58.3,Medium
54,Female,7.7,6.7,53,1.2,5.2,2,Sad,82.6,Low
52,Male,8.8,3.0,57,3.8,8.7,6,Sad,100.0,Low
57,Male,4.4,9.8,61,4.1,2.3,3,Happy,49.7,High
39,Female,4.0,12.0,79,2.6,5.6,9,Stressed,19.999999999999996,High
44,Male,4.1,11.7,47,1.7,4.6,3,Happy,32.7,High
52,Female,6.8,9.6,6,1.1,4.2,1,Sad,59.9,Medium
18,Male,7.8,5.6,118,3.5,3.8,9,Sad,79.49999999999999,Low
52,Male,5.8,4.7,44,2.1,9.4,8,Sad,54.69999999999999,Medium
54,Male,6.7,1.8,12,2.9,11.6,2,Happy,95.50000000000001,Low
31,Female,6.6,5.6,52,2.5,5.8,10,Happy,49.300000000000004,High
20,Female,4.5,2.7,114,1.7,2.5,10,Stressed,35.89999999999999,High
18,Female,5.6,3.8,113,3.0,9.2,3,Sad,92.4,Low
22,Male,4.1,10.8,92,2.8,7.4,7,Happy,38.60000000000001,High
43,Male,4.6,11.7,38,3.5,9.2,6,Stressed,42.099999999999994,High
31,Female,8.1,11.4,83,2.0,8.5,8,Happy,69.8,Medium
56,Female,8.1,3.1,113,1.9,11.1,10,Stressed,89.1,Low
44,Male,8.0,10.9,92,4.3,3.4,5,Stressed,84.9,Low
26,Male,7.6,2.6,119,3.8,3.7,5,Happy,100.0,Low
32,Male,8.0,6.6,17,4.1,5.4,2,Neutral,93.5,Low
32,Male,7.4,8.1,21,1.5,6.9,6,Stressed,59.3,Medium
43,Female,7.3,6.1,35,1.9,11.3,5,Sad,79.9,Low
59,Male,7.3,11.5,104,3.3,11.1,9,Happy,73.5,Medium
30,Male,6.6,4.7,52,4.4,10.7,3,Happy,98.4,Low
49,Male,5.8,6.8,111,4.6,4.2,5,Neutral,78.00000000000001,Low
56,Male,7.7,1.8,99,4.3,9.3,3,Neutral,100.0,Low
49,Male,5.5,10.4,71,1.2,5.8,9,Stressed,30.000000000000007,High
21,Male,6.7,5.5,2,4.3,11.3,9,Neutral,64.5,Medium
47,Male,6.2,8.7,61,4.6,4.1,10,Stressed,48.000000000000014,High
54,Female,5.4,8.5,28,1.2,3.4,7,Neutral,27.399999999999995,High
40,Female,8.9,8.4,72,2.7,10.4,1,Neutral,100.0,Low
56,Female,5.3,6.6,7,3.1,9.2,9,Neutral,39.1,High
32,Male,5.5,4.1,93,1.9,10.2,9,Neutral,59.29999999999999,Medium
46,Female,4.8,7.9,75,3.1,3.6,10,Sad,29.900000000000002,High
53,Male,8.1,11.6,45,4.5,10.8,5,Neutral,90.9,Low
30,Male,6.9,10.2,91,4.5,8.8,2,Happy,98.9,Low
49,Male,7.1,2.2,55,4.8,8.5,1,Happy,100.0,Low
24,Male,8.1,1.3,105,2.9,7.8,2,Happy,100.0,Low
39,Female,5.7,6.5,116,2.6,9.6,4,Happy,83.4,Low
45,Male,5.0,9.5,48,3.7,6.2,4,Stressed,55.49999999999999,Medium
19,Male,5.0,4.5,42,2.7,3.3,1,Neutral,65.5,Medium
59,Female,7.7,8.7,9,1.2,7.4,8,Sad,50.2,Medium
23,Female,7.1,11.3,12,3.9,9.5,10,Sad,49.30000000000001,High
45,Female,5.0,6.0,56,2.1,3.5,8,Neutral,34.7,High
45,Male,4.7,3.7,1,1.2,4.2,8,Stressed,22.200000000000003,High
37,Female,4.6,11.1,64,1.1,9.0,5,Sad,40.099999999999994,High
47,Male,7.1,6.2,85,4.7,4.7,10,Neutral,68.5,Medium
28,Male,4.0,5.5,96,2.0,3.7,2,Happy,57.6,Medium
45,Female,4.1,4.9,79,2.8,10.9,4,Stressed,66.8,Medium
42,Female,5.9,5.7,41,4.8,3.6,1,Neutral,83.0,Low
56,Female,7.5,8.4,57,2.9,5.4,10,Sad,54.900000000000006,Medium
50,Male,7.5,5.8,92,1.3,6.3,1,Sad,96.9,Low
18,Male,6.2,4.6,9,3.2,6.8,10,Stressed,44.199999999999996,High
44,Male,7.5,9.2,62,1.4,5.6,3,Sad,75.2,Low
30,Male,6.6,3.2,102,1.4,11.1,4,Neutral,93.2,Low
58,Male,8.9,3.2,70,4.4,8.6,3,Neutral,100.0,Low
20,Male,4.8,8.7,60,2.2,5.6,3,Stressed,52.8,Medium
56,Female,7.0,10.5,0,3.7,5.6,8,Neutral,46.7,High
23,Male,6.5,3.7,25,3.0,7.0,4,Sad,75.6,Low
25,Female,5.0,3.1,108,1.9,2.3,3,Stressed,67.49999999999999,Medium
44,Female,7.7,8.4,4,3.1,11.3,9,Sad,63.1,Medium
26,Female,5.4,7.8,34,1.3,4.2,1,Sad,56.099999999999994,Medium
54,Female,5.9,5.9,12,2.4,9.0,8,Happy,47.60000000000001,High
50,Female,5.9,2.1,26,3.1,9.8,5,Neutral,75.1,Low
59,Male,5.2,2.0,11,1.9,10.3,8,Neutral,48.300000000000004,High
41,Male,6.2,9.6,93,3.6,3.7,10,Sad,46.79999999999999,High
32,Male,6.4,6.0,49,1.2,7.4,3,Sad,70.6,Medium
49,Male,7.7,10.4,95,2.9,2.8,6,Sad,71.3,Medium
49,Female,7.8,7.3,58,3.9,10.0,7,Sad,86.5,Low
41,Female,4.8,7.8,30,2.7,6.9,8,Happy,33.7,High
58,Female,7.0,11.3,68,4.5,3.6,7,Sad,62.7,Medium
29,Male,8.5,2.8,36,3.5,9.2,7,Sad,94.5,Low
56,Male,4.5,7.0,1,4.8,5.3,2,Sad,57.800000000000004,Medium
19,Male,6.4,1.6,101,2.1,3.1,3,Stressed,85.7,Low
20,Male,7.8,4.9,70,4.8,6.6,6,Stressed,95.4,Low
54,Female,7.1,2.6,64,3.4,4.4,3,Stressed,92.39999999999999,Low
34,Female,4.5,3.1,2,4.0,11.5,9,Stressed,46.2,High
19,Male,6.0,11.3,19,4.6,5.6,9,Neutral,39.39999999999999,High
19,Male,6.5,7.7,1,3.2,7.7,6,Stressed,57.199999999999996,Medium
45,Female,9.0,10.8,41,4.4,11.5,1,Stressed,100.0,Low
40,Female,4.9,5.9,42,3.2,5.9,1,Stressed,69.4,Medium
54,Female,8.9,7.6,20,3.4,5.6,4,Neutral,90.0,Low
49,Female,5.9,1.4,44,2.8,3.6,10,Sad,46.2,High
50,Male,5.0,6.2,95,1.6,11.4,8,Neutral,55.39999999999999,Medium
18,Female,6.1,7.2,111,3.2,10.0,3,Happy,92.8,Low
36,Female,7.1,1.2,19,4.9,4.2,4,Happy,89.3,Low
19,Female,5.1,9.7,42,4.1,5.3,6,Stressed,47.10000000000001,High
43,Female,5.5,4.2,49,4.0,11.1,9,Happy,62.599999999999994,Medium
49,Male,8.3,6.0,94,3.6,7.4,4,Stressed,100.0,Low
23,Male,9.0,6.9,42,2.4,7.6,3,Happy,99.80000000000001,Low
49,Male,5.6,11.9,96,1.7,8.5,10,Neutral,36.900000000000006,High
21,Male,4.7,2.1,23,1.9,9.6,10,Stressed,36.099999999999994,High
28,Male,8.0,7.1,81,1.0,11.4,9,Neutral,73.8,Medium
34,Male,7.0,6.8,83,3.7,10.0,7,Stressed,83.5,Low
55,Female,4.5,1.8,59,4.2,11.3,9,Sad,60.800000000000004,Medium
41,Female,8.7,8.0,31,2.1,10.2,10,Stressed,68.1,Medium
22,Female,4.4,4.2,4,1.4,2.5,6,Stressed,24.4,High
51,Female,7.1,2.1,1,2.3,3.2,4,Happy,68.9,Medium
23,Male,6.1,3.0,25,2.2,10.8,5,Happy,72.6,Medium
39,Female,6.8,10.1,24,2.8,2.3,10,Stressed,31.199999999999996,High
28,Male,5.1,2.1,49,2.1,9.9,2,Stressed,78.89999999999999,Low
33,Female,7.4,6.1,85,2.4,10.5,3,Neutral,99.8,Low
50,Female,8.8,3.1,38,4.6,6.2,5,Stressed,100.0,Low
26,Female,6.3,2.8,85,2.3,5.5,3,Happy,84.9,Low
23,Male,6.6,3.3,74,4.1,3.9,3,Stressed,90.5,Low
33,Female,5.2,6.4,10,3.5,2.5,9,Neutral,27.700000000000003,High
46,Male,8.5,3.6,62,2.4,9.5,4,Neutral,100.0,Low
20,Male,8.9,2.1,108,4.3,2.7,4,Stressed,100.0,Low
37,Female,7.9,9.8,67,3.4,11.4,1,Happy,100.0,Low
53,Male,6.7,6.9,96,1.0,5.0,7,Sad,59.400000000000006,Medium
36,Male,8.8,2.7,17,1.3,9.9,10,Stressed,72.3,Medium
43,Female,4.8,6.2,94,4.0,2.6,9,Neutral,43.599999999999994,High
20,Female,6.4,1.8,107,2.8,7.4,8,Neutral,78.60000000000001,Low
36,Female,6.7,7.4,27,2.6,5.5,2,Happy,73.60000000000001,Medium
37,Female,6.5,4.7,41,1.6,2.3,6,Neutral,52.4,Medium
49,Female,8.0,2.1,59,1.6,8.6,10,Stressed,72.8,Medium
24,Female,7.4,3.0,21,4.2,11.4,10,Sad,76.0,Low
58,Male,4.6,4.8,39,4.3,2.1,5,Happy,49.900000000000006,High
50,Female,5.7,9.9,61,3.2,4.7,8,Neutral,42.800000000000004,High
57,Female,5.7,2.9,2,2.2,9.0,1,Happy,76.60000000000001,Low
56,Male,6.8,2.2,70,4.7,10.7,9,Stressed,86.5,Low
35,Female,5.5,6.7,62,3.5,3.9,9,Sad,43.3,High
57,Male,4.6,7.1,120,4.2,2.7,7,Stressed,54.199999999999996,Medium
18,Female,7.3,2.0,19,1.0,2.1,8,Happy,50.0,Medium
28,Female,8.3,4.1,106,2.8,4.2,9,Sad,82.4,Low
45,Male,8.7,3.9,70,4.5,2.7,5,Stressed,100.0,Low
42,Female,8.9,3.0,70,2.4,5.6,2,Happy,100.0,Low
40,Male,7.9,4.5,92,3.9,6.4,1,Sad,100.0,Low
48,Female,4.7,1.4,25,3.6,6.8,5,Happy,60.800000000000004,Medium
47,Female,8.3,8.2,40,1.6,3.4,8,Stressed,57.39999999999999,Medium
59,Male,6.0,11.9,2,4.1,6.6,10,Happy,30.300000000000008,High
52,Female,7.6,8.0,42,1.5,2.1,4,Neutral,64.10000000000001,Medium
24,Female,6.7,5.0,16,3.9,4.4,4,Happy,72.5,Medium
33,Male,8.1,8.3,103,5.0,5.7,4,Neutral,100.0,Low
43,Female,6.1,7.3,83,4.8,3.2,8,Sad,61.4,Medium
19,Male,4.3,10.3,97,4.2,10.1,7,Sad,55.0,Medium
18,Female,6.8,7.8,52,3.1,4.0,1,Stressed,82.30000000000001,Low
29,Male,4.9,8.0,51,3.7,9.5,10,Happy,40.7,High
22,Female,8.8,3.4,32,3.9,6.7,6,Neutral,96.50000000000001,Low
54,Male,6.6,5.6,79,1.0,6.8,4,Neutral,73.19999999999999,Medium
49,Male,6.8,4.8,59,1.4,8.5,2,Stressed,86.2,Low
26,Female,8.5,1.1,86,3.4,2.4,3,Happy,100.0,Low
58,Female,7.1,4.4,67,1.0,2.8,4,Neutral,70.2,Medium
52,Male,5.5,6.3,55,4.6,5.3,10,Stressed,47.00000000000001,High
36,Female,5.5,7.6,104,3.0,6.2,7,Stressed,59.99999999999999,Medium
33,Male,6.5,11.3,63,2.0,6.3,1,Happy,73.6,Medium
20,Female,8.3,3.6,103,2.6,8.8,1,Happy,100.0,Low
37,Female,8.0,2.7,96,4.4,2.0,3,Happy,100.0,Low
41,Male,8.8,10.6,7,4.7,11.6,2,Neutral,100.0,Low
50,Male,4.4,11.4,68,1.5,3.7,3,Stressed,37.699999999999996,High
41,Female,5.3,6.4,32,4.1,4.5,3,Happy,64.10000000000001,Medium
28,Female,4.4,2.3,120,3.3,11.1,1,Sad,98.10000000000001,Low
25,Female,7.8,6.3,24,3.3,2.1,6,Happy,66.9,Medium
53,Female,4.7,2.2,70,4.1,11.9,8,Neutral,68.89999999999999,Medium
55,Female,4.5,10.7,110,1.9,2.4,5,Happy,39.9,High
57,Male,6.8,8.8,6,3.1,3.2,1,Happy,69.5,Medium
37,Female,6.1,3.7,58,2.3,4.4,10,Sad,45.499999999999986,High
52,Female,7.6,10.8,32,1.4,6.4,7,Sad,52.60000000000001,Medium
42,Male,6.4,8.0,40,1.4,7.2,10,Neutral,37.4,High
52,Male,6.1,11.5,32,1.5,3.0,9,Happy,21.900000000000006,High
42,Male,6.1,11.8,28,3.5,2.7,7,Happy,37.89999999999999,High
46,Female,8.4,1.0,107,1.4,2.3,9,Sad,79.0,Low
35,Male,6.0,2.3,38,3.3,4.6,10,Happy,48.7,High
35,Male,5.7,7.0,56,3.4,11.2,9,Neutral,57.6,Medium
19,Male,5.7,11.5,104,4.6,5.9,2,Sad,81.6,Low
52,Male,5.0,11.9,95,3.5,9.6,8,Stressed,49.900000000000006,High
33,Female,8.3,7.2,100,4.9,3.9,7,Stressed,92.89999999999999,Low
58,Female,4.7,2.9,107,1.1,2.6,7,Stressed,45.30000000000001,High
53,Female,8.5,2.8,92,3.8,7.5,2,Stressed,100.0,Low
50,Male,5.4,9.4,63,1.1,10.2,1,Sad,69.69999999999999,Medium
21,Male,8.5,7.5,85,3.9,11.0,4,Neutral,100.0,Low
50,Male,8.0,7.0,65,2.5,7.5,7,Stressed,78.5,Low
31,Male,6.9,6.1,113,3.4,4.9,6,Stressed,82.19999999999999,Low
38,Male,7.3,9.0,8,2.2,3.1,10,Happy,33.8,High
37,Male,5.6,10.4,28,1.6,8.7,2,Neutral,58.199999999999996,Medium
25,Female,6.9,4.3,96,3.9,4.8,7,Stressed,80.7,Low
24,Female,5.5,3.4,73,4.6,10.4,10,Sad,66.6,Medium
20,Male,6.0,8.4,27,1.7,8.1,9,Sad,37.30000000000001,High
34,Female,7.8,11.1,109,4.7,10.6,2,Neutral,100.0,Low
50,Male,5.2,4.8,52,1.6,7.7,10,Stressed,36.2,High
29,Male,8.2,4.0,45,3.9,9.7,5,Sad,100.0,Low
39,Female,5.9,3.5,38,4.8,4.9,2,Happy,85.39999999999999,Low
39,Male,6.7,3.8,75,1.6,7.0,1,Sad,92.4,Low
47,Female,8.7,2.5,57,2.7,2.2,7,Neutral,83.30000000000001,Low
55,Male,7.4,7.6,85,2.3,8.1,2,Stressed,95.5,Low
55,Male,7.2,4.1,53,2.6,7.3,6,Neutral,77.99999999999999,Low
25,Female,7.6,7.8,5,4.0,9.6,7,Sad,72.60000000000001,Medium
44,Male,8.6,1.9,44,3.6,9.3,1,Stressed,100.0,Low
44,Male,5.2,2.3,39,4.9,8.3,9,Neutral,60.300000000000004,Medium
51,Male,7.1,6.9,22,1.7,2.6,6,Neutral,51.30000000000001,Medium
38,Female,6.0,6.6,116,3.2,11.0,2,Stressed,100.0,Low
47,Male,4.1,4.0,97,2.8,2.2,1,Happy,66.80000000000001,Medium
50,Male,4.6,10.1,41,4.7,10.0,1,Sad,73.5,Medium
45,Male,5.6,3.1,37,1.0,6.8,2,Happy,67.8,Medium
50,Female,6.8,5.0,15,5.0,10.2,9,Neutral,70.4,Medium
22,Female,8.4,7.1,73,2.9,6.7,2,Neutral,100.0,Low
36,Female,8.0,10.5,46,3.5,8.5,1,Happy,98.7,Low
21,Female,6.8,5.6,20,2.4,5.6,4,Sad,68.0,Medium
52,Female,4.4,5.4,115,4.4,9.4,9,Neutral,61.0,Medium
34,Male,5.4,7.4,73,3.2,4.5,8,Stressed,46.8,High
45,Female,5.8,4.5,74,3.7,9.2,7,Neutral,72.69999999999999,Medium
47,Female,7.1,8.8,20,3.6,3.9,8,Neutral,51.2,Medium
46,Male,4.3,3.7,24,2.5,9.2,2,Sad,63.3,Medium
23,Female,6.7,10.1,60,1.3,4.9,5,Stressed,55.099999999999994,Medium
52,Male,8.5,4.0,97,4.2,4.8,7,Happy,99.0,Low
58,Female,7.5,11.9,53,2.2,10.1,1,Happy,89.0,Low
54,Male,8.0,4.5,94,4.4,10.1,6,Sad,100.0,Low
41,Male,7.4,10.7,90,3.4,8.9,7,Neutral,77.39999999999999,Low
46,Female,5.0,5.4,88,2.4,11.2,8,Neutral,59.199999999999996,Medium
48,Female,4.6,3.7,59,3.4,3.6,5,Sad,54.599999999999994,Medium
52,Male,8.1,3.5,41,3.6,4.7,8,Neutral,77.60000000000001,Low
50,Male,7.5,10.4,60,3.8,4.9,10,Happy,55.0,Medium
38,Male,6.9,4.4,31,4.3,5.1,1,Happy,94.10000000000001,Low
49,Male,4.9,4.7,52,1.6,5.3,4,Neutral,52.60000000000001,Medium
40,Male,7.0,3.2,43,4.8,9.0,6,Stressed,90.19999999999999,Low
50,Male,4.2,11.6,10,2.6,4.7,4,Sad,27.199999999999996,High
20,Male,4.6,3.7,117,4.4,4.9,5,Stressed,73.8,Medium
35,Female,5.6,3.7,46,1.9,7.7,2,Sad,74.7,Medium
42,Male,6.2,11.4,89,1.1,3.9,7,Neutral,42.3,High
59,Female,4.6,10.9,59,3.3,5.6,9,Stressed,27.7,High
48,Female,4.6,3.7,35,2.3,2.6,7,Neutral,34.300000000000004,High
20,Male,7.6,10.5,100,4.9,11.5,1,Neutral,100.0,Low
57,Male,6.8,3.7,119,1.4,5.2,2,Sad,93.8,Low
41,Female,6.7,1.9,59,1.2,10.5,8,Sad,70.0,Medium
49,Male,6.3,10.0,32,1.2,7.3,1,Sad,66.0,Medium
39,Male,8.9,9.5,96,1.9,4.3,2,Neutral,99.3,Low
40,Female,4.2,4.2,41,3.3,3.9,5,Stressed,46.1,High
19,Female,4.9,2.0,99,3.0,8.9,6,Sad,73.6,Medium
44,Female,7.2,3.3,12,2.4,11.6,1,Sad,99.00000000000001,Low
59,Male,4.7,9.5,13,1.4,3.8,1,Happy,41.2,High
19,Male,6.9,11.6,57,1.9,3.2,2,Neutral,65.10000000000001,Medium
43,Female,6.8,3.8,114,1.7,5.9,3,Happy,91.5,Low
34,Male,8.9,10.0,100,4.0,5.9,9,Sad,84.8,Low
57,Female,8.4,3.5,106,4.1,10.1,3,Happy,100.0,Low
50,Male,8.7,8.5,39,4.1,6.7,8,Stressed,79.7,Low
26,Female,4.6,1.9,64,4.9,2.6,6,Stressed,60.7,Medium
56,Male,8.3,7.4,4,4.5,11.2,10,Happy,73.9,Medium
46,Female,4.6,4.0,29,3.0,5.7,5,Stressed,50.199999999999996,Medium
59,Male,7.2,11.2,116,2.7,8.7,9,Neutral,67.70000000000002,Medium
43,Male,7.6,4.2,81,4.7,8.7,8,Happy,92.69999999999999,Low
52,Female,4.8,5.4,44,3.4,2.6,3,Neutral,56.2,Medium
42,Male,7.2,10.2,100,2.2,2.0,7,Stressed,58.599999999999994,Medium
41,Male,4.3,5.8,119,3.3,2.9,4,Happy,61.5,Medium
30,Female,5.5,3.6,57,5.0,11.6,8,Happy,75.4,Low
24,Male,8.6,7.0,38,4.4,9.9,7,Sad,93.39999999999999,Low
53,Male,4.9,10.2,11,2.1,3.3,3,Neutral,35.900000000000006,High
37,Male,4.3,5.8,33,4.8,8.1,7,Sad,50.19999999999999,Medium
18,Female,6.2,2.5,108,4.9,8.1,6,Sad,95.3,Low
25,Female,8.3,5.2,13,1.9,2.0,6,Stressed,64.69999999999999,Medium
33,Female,4.4,11.5,37,4.6,6.3,10,Neutral,24.000000000000007,High
31,Female,5.8,1.8,15,4.5,9.1,3,Neutral,86.10000000000001,Low
29,Female,8.5,5.5,105,1.2,3.9,4,Stressed,92.8,Low
40,Male,4.6,8.1,60,3.7,10.5,4,Stressed,65.3,Medium
32,Male,5.6,1.9,58,2.2,8.6,6,Neutral,68.0,Medium
45,Female,7.9,4.8,74,3.7,2.1,9,Stressed,70.9,Medium
51,Male,6.7,11.3,96,4.7,10.5,5,Neutral,88.1,Low
