Study_Hours,Sleep_Hours,Social_Media_Usage,Extracurricular_Activities,Physical_Activity,Stress_Level,Productivity_Level,Burnout_Risk,Academic_Performance
4,9,5,Yes,3,Medium,Medium,High,2.5549315396225327
4,5,2,Yes,2,High,Medium,Low,3.018903748468224
1,6,1,No,0,Medium,Medium,High,2.106216413927869
3,5,2,Yes,3,Low,Low,Medium,2.7366897715261747
4,5,2,No,5,High,Low,Low,2.6544033117390247
4,6,2,Yes,3,High,High,High,3.037943367033363
3,8,4,Yes,6,Medium,Low,Low,2.781038080528668
8,7,0,Yes,5,Low,Medium,Medium,2.5388558983168505
9,4,4,No,3,High,High,Low,2.8695517527018604
6,7,1,No,4,High,High,Low,3.0114061499356692
6,5,2,Yes,1,Medium,High,Low,3.4196324456650466
10,4,0,No,4,Medium,Medium,Low,2.6837935769869157
4,6,5,Yes,2,Medium,High,Low,3.9202281491289948
2,8,0,No,5,Medium,High,Medium,2.1111581654266245
9,4,3,No,6,Low,Low,High,3.6027769289783094
5,5,1,No,6,High,High,High,2.3682119214556034
11,8,3,Yes,5,High,Medium,High,3.937061357433991
1,9,2,No,3,Medium,High,High,3.5739212936048377
6,8,0,No,4,High,Medium,Low,3.419019642040529
2,4,4,No,5,Medium,Low,Low,2.765199686333567
6,4,2,Yes,3,Low,Medium,Medium,3.2651669040839835
9,6,1,No,4,High,Medium,Low,2.3088521169431715
9,4,2,No,2,High,Medium,High,2.393914752445067
9,7,1,No,1,Low,Medium,Low,3.8863341502093
4,5,0,Yes,0,Medium,Medium,High,3.589086665272979
8,4,0,Yes,1,High,High,Medium,3.2948765071669017
5,8,1,Yes,0,Low,Medium,Low,3.1556917057846983
1,7,3,No,3,Medium,High,Low,2.9501572440159323
10,4,2,Yes,5,Medium,Low,Low,3.323274981620122
8,9,1,No,0,Low,High,Low,2.0749375159866776
8,9,4,No,1,Low,High,Medium,3.7881486076064084
10,7,3,No,4,Low,Low,Medium,3.928241660277272
9,6,5,Yes,0,High,High,High,3.8739590770040753
7,4,1,No,0,High,High,Low,3.7145799625684353
8,8,1,Yes,3,Medium,Medium,High,2.53072548045598
4,7,1,Yes,2,Medium,Medium,Medium,3.7386021162623586
4,8,3,No,1,High,Low,High,3.9368131033741522
9,8,0,No,4,Medium,Low,Low,2.9958764693648186
4,6,0,No,3,Low,Medium,Low,3.5077209327067784
10,6,3,No,6,Low,High,High,2.9085048319978317
6,4,0,No,5,Low,High,Low,3.750501451891373
11,5,0,Yes,6,Low,Medium,Medium,3.4324487189467345
1,7,4,Yes,6,High,Medium,Medium,2.1846894684789766
7,5,4,Yes,4,High,Low,High,3.7630188334237884
10,9,1,No,0,Medium,Low,High,3.4894970932403027
10,7,3,No,5,Medium,High,Medium,3.073418146006399
1,6,5,No,5,High,Medium,High,3.4365368589703973
2,5,3,Yes,6,High,Medium,Medium,3.8442384009632855
2,7,5,Yes,0,High,Medium,Medium,3.064071691013317
6,9,0,Yes,3,High,Low,High,2.478637844555573
11,4,2,Yes,0,Medium,Medium,High,2.4153485702984554
3,8,3,No,3,High,Medium,Medium,2.0686660339601715
2,4,0,No,0,Medium,Medium,Medium,3.595283383191579
1,9,3,Yes,1,Medium,Low,High,3.283822585958122
8,5,0,Yes,4,Medium,High,Low,3.3560434093537683
5,6,0,No,6,High,High,High,2.607645589292236
6,6,2,No,1,High,Medium,Medium,2.9390600323575646
4,6,3,No,6,Low,High,High,2.358484244680251
11,8,4,Yes,5,Low,High,Medium,3.2966270899955337
9,4,1,No,1,Low,High,High,2.0915362170297422
11,8,4,No,0,Low,Medium,Medium,3.5396007920821173
5,8,1,No,3,High,Low,Medium,2.07681210221594
6,8,5,No,4,Medium,Medium,High,3.9154422299288303
11,9,2,No,2,High,Medium,High,3.566182762846543
10,4,5,Yes,4,Low,High,High,3.0968747097213196
3,7,5,No,5,Low,Low,Medium,3.530777745310058
2,9,5,No,0,High,Low,Medium,3.85606467153985
8,8,2,Yes,5,Medium,Low,High,3.0067536504112016
6,6,3,Yes,5,High,Low,High,3.8269451150367897
3,5,3,No,2,High,Medium,Medium,3.0218786514008533
1,8,5,Yes,6,Low,Low,Medium,3.878307916751444
8,4,1,Yes,5,Low,High,Medium,3.93374765592662
5,8,2,No,1,Low,Medium,Low,2.7690867412267295
2,6,5,No,1,High,Medium,High,2.56225671167308
1,8,3,No,0,Low,Medium,Low,3.7905910710627473
11,5,0,Yes,6,Low,Medium,Low,2.8317248501537557
9,6,1,Yes,4,High,Medium,High,3.9896371772813044
3,9,4,No,2,High,Medium,Medium,2.3548720113423682
10,9,0,No,5,High,Low,Medium,3.3852021761190523
11,9,5,No,3,High,High,Medium,3.3404692667345053
3,4,5,No,5,Medium,High,High,3.3589231727036433
4,4,4,Yes,6,Medium,Medium,Medium,3.366639154183434
4,9,5,Yes,4,Low,Medium,High,3.6100648165116977
5,9,1,No,4,High,Low,High,2.2909492312025708
3,7,2,No,0,Low,Low,Medium,3.626486964892791
2,9,4,No,0,Medium,Low,Medium,2.6812718130306776
8,4,2,Yes,0,High,Medium,Medium,3.843032091763029
4,5,0,Yes,6,High,High,Medium,3.077779206225335
10,8,3,No,3,High,Medium,Medium,3.4209188004672386
3,4,0,Yes,0,Low,Low,Low,3.671914469498044
6,6,2,No,5,Medium,Medium,Low,3.753701402718673
11,9,4,No,6,Low,Medium,High,2.830369481537299
4,9,2,No,6,Low,Low,Medium,3.530270097643921
1,4,0,No,2,Low,High,Low,3.2021024314454825
7,5,5,Yes,3,Medium,Low,Medium,3.4245561901103434
3,7,3,No,2,Medium,Low,Medium,2.836389935744686
5,4,4,No,1,High,High,High,2.547429952761852
11,6,5,No,1,Low,Low,High,3.7911100156869257
1,7,1,No,0,Medium,Medium,High,3.4184339157551147
6,8,1,Yes,0,Low,Low,High,2.9018759568180847
1,6,3,Yes,3,Low,High,Low,2.2953042663041687
11,7,1,Yes,0,High,High,Low,2.2862288378011866
1,4,4,No,4,High,High,Low,2.059646008066487
11,5,0,Yes,0,High,Low,High,2.7888233416026176
11,7,2,Yes,4,High,Medium,Low,3.403395896023949
3,8,0,Yes,6,Medium,Low,Low,2.875558729249618
3,7,4,No,1,Low,High,High,2.012572264806659
10,6,4,No,0,Low,Medium,High,3.0383044611032406
5,8,2,No,2,High,Medium,Low,2.0357842528720203
8,5,3,No,2,Medium,Medium,Low,3.6479777753108458
3,8,0,No,5,Medium,Low,High,2.3385911125642274
4,4,5,Yes,1,High,Medium,Medium,3.7199869659233946
5,9,3,No,5,High,Medium,High,2.6779881851981875
4,4,2,No,0,Medium,High,High,2.305129506920687
1,8,4,No,0,High,Medium,High,3.3878549313325776
3,5,0,No,5,Medium,High,Low,3.852007675245498
1,9,2,No,4,Medium,Low,Medium,3.708473585428051
2,8,2,Yes,3,Medium,Low,High,2.131436127038656
10,7,0,No,4,Medium,Low,Low,2.7426637048011004
4,7,0,No,6,Low,High,High,3.460318849267433
5,9,1,Yes,1,High,Low,Low,3.788435286443218
8,4,1,Yes,6,Low,Medium,Medium,2.947216026232658
8,6,0,Yes,6,High,Medium,High,2.2542689398886333
5,8,4,No,5,High,Medium,Low,3.4568279510514284
8,4,1,No,0,Medium,Medium,Medium,2.2635620596933963
11,9,2,Yes,0,High,High,Medium,3.029878853921172
3,4,2,No,2,Medium,High,Low,3.600287861121301
10,7,1,No,6,Low,Medium,Low,3.867479246441875
5,5,3,Yes,4,Medium,High,High,3.0059999655460965
4,6,3,Yes,5,Medium,Medium,Medium,2.522244996881069
4,5,3,Yes,6,Medium,Medium,Medium,3.4386336187197353
4,5,2,Yes,2,Low,High,Low,3.1168011166629457
3,4,1,Yes,1,Low,Medium,Low,2.8861228501153473
8,8,3,Yes,2,Low,Medium,High,2.2447303372738006
6,8,5,Yes,3,Medium,Low,High,3.575289598821027
3,9,4,No,1,Low,Low,Medium,2.1961678171864953
9,8,0,No,5,High,Low,Low,3.4231153193268504
2,9,0,No,6,High,Medium,Low,2.204686539386749
6,4,2,Yes,6,High,Medium,High,2.837947149166556
2,6,4,No,0,High,Medium,High,2.1292770021765435
10,8,4,No,5,Medium,High,Low,2.4091578110825473
5,5,5,Yes,2,High,High,Medium,3.008535234146822
5,9,1,No,0,Low,High,Low,3.106352831976565
9,9,5,Yes,4,High,Medium,Low,3.696505552427385
2,6,4,Yes,2,Low,High,High,3.563517876564081
3,8,0,Yes,0,High,Medium,High,3.732310654005338
5,7,4,Yes,1,High,High,Medium,2.842556377817231
11,6,4,No,0,High,Low,Low,3.481111126505838
7,6,4,No,3,Low,High,Low,3.31983664054033
5,9,2,No,0,High,Low,Low,2.8729618405385295
6,7,0,No,1,Low,Medium,Low,2.4207861238162725
1,8,3,Yes,4,Low,Low,High,3.4240989931136285
5,5,5,Yes,4,High,High,Low,3.4016788499114736
9,9,3,Yes,6,Low,Low,Medium,3.3052465043162154
2,7,1,Yes,0,High,Low,High,3.1423014409164214
5,4,1,No,5,High,Low,Medium,2.903199740537103
10,8,2,No,6,Low,Medium,High,2.827642333312923
8,4,0,No,6,High,Medium,Low,3.4091924432999265
10,4,5,No,3,Low,Medium,High,2.7775029473175756
2,5,2,No,3,Low,Low,Medium,2.933274351870112
10,8,4,No,3,Medium,High,Low,3.1438116870554786
7,4,0,No,3,Medium,Medium,Medium,2.831801213443253
6,6,2,Yes,6,Medium,Low,Medium,3.9391590979761872
3,5,1,No,3,Medium,Low,Medium,2.01761816390066
3,4,0,Yes,4,High,Medium,High,2.12201554464475
10,6,1,No,6,High,Medium,Low,3.417054482308159
2,7,2,No,3,Low,Medium,Medium,2.887920419864556
7,5,3,Yes,5,Medium,High,Low,3.1076241513983485
8,8,2,Yes,3,Low,Low,Low,2.3938893961788734
5,5,5,Yes,0,High,Low,Low,3.2043633695030085
2,6,3,Yes,4,High,High,High,2.389549402666534
5,7,0,Yes,5,High,High,Medium,3.065110649813607
3,7,0,Yes,3,High,Medium,High,3.2147625091894483
11,7,0,Yes,5,Low,High,High,2.085222739590055
11,8,4,No,1,Medium,High,High,2.2473315508665794
8,8,4,Yes,5,Low,Low,Medium,3.2964127317683194
1,6,5,No,6,High,Low,Medium,2.9971183242590747
9,4,1,No,3,High,Medium,Medium,2.0647092582964763
5,9,3,Yes,5,High,Medium,High,3.7702239144267002
1,9,2,No,2,Medium,Medium,Low,3.751059935648062
4,4,4,No,2,Medium,Low,Medium,2.05630315586406
2,9,2,No,0,High,Low,Medium,3.4480281151682384
6,7,3,Yes,5,Low,High,Low,2.4125666474495198
11,6,4,No,1,Low,Medium,High,2.7072227410349794
1,7,1,No,2,High,Low,Medium,2.1146858364233023
11,9,4,No,5,Medium,High,Low,2.162448962777704
5,6,3,Yes,4,High,Low,Medium,2.2749838760348235
7,6,3,No,0,Low,High,High,2.0467227714217406
8,4,4,Yes,6,Medium,Medium,Medium,3.2741088459261887
5,4,5,No,6,Low,Medium,Medium,2.7907314976940625
5,4,3,Yes,2,Low,High,Medium,3.5606646921861955
4,5,1,Yes,3,High,Medium,High,2.008673904073206
1,9,4,No,1,High,Low,Medium,2.7283203072956486
6,5,0,No,6,Medium,Low,Low,3.59197328137056
8,6,0,Yes,0,Medium,High,High,2.788363558404396
8,9,3,Yes,3,Medium,High,High,2.254619163278674
7,7,2,Yes,2,High,Low,Low,2.0620219870645418
3,5,4,Yes,2,High,High,High,3.8751205359047205
2,7,5,Yes,5,Low,High,High,3.9336781401532352
1,8,5,No,4,High,Low,Medium,3.159588089559968
11,7,1,No,3,High,Medium,Low,2.9718864001163907
7,6,3,No,5,Low,High,Low,3.1849102375207092
9,7,0,Yes,3,Medium,Low,Medium,2.833764080747902
5,5,0,Yes,3,Low,High,Medium,3.6108199212089325
10,6,1,Yes,1,Medium,Low,Medium,3.956454903365432
9,4,2,Yes,0,Medium,Medium,Low,2.9860345119643963
4,4,3,Yes,2,High,Medium,Low,3.4633815400929056
3,6,2,Yes,0,Low,High,Medium,3.046835783057081
6,8,1,No,6,Medium,Low,High,3.5543663697626986
10,8,4,No,6,Low,Low,Medium,2.919589800814812
11,5,0,Yes,4,High,High,Low,2.8271069975050924
9,7,2,No,5,Medium,Medium,Low,2.381032431088048
6,4,4,No,4,Low,Medium,Medium,3.9162232715942986
4,8,1,Yes,4,Low,Medium,Low,3.3753024888758905
5,7,5,Yes,5,High,Medium,Low,3.614977475845812
8,9,0,Yes,3,High,Medium,High,3.172704723586259
9,6,1,Yes,4,Low,Low,Medium,2.317055824245246
8,9,4,Yes,0,High,Low,Low,3.235535554577143
2,6,2,No,4,Medium,Low,Medium,2.385927119286797
1,6,4,Yes,4,Medium,Low,Medium,3.8143411984276305
11,5,3,No,1,Low,High,High,2.562643773968221
6,5,5,Yes,0,Medium,Low,Low,3.34039731952838
7,5,2,No,1,Low,Medium,Low,3.8010114277393745
6,6,2,Yes,3,Medium,Medium,Low,2.8756773036029446
9,8,5,No,4,Low,Low,Medium,3.7240444030620177
9,4,4,Yes,4,Medium,High,High,2.6685878298549595
4,7,5,Yes,6,Low,Low,Low,3.6993453115754193
6,5,4,Yes,0,High,High,High,2.428145476199491
4,6,4,Yes,3,High,High,High,3.5679725604453774
10,5,1,No,3,Low,Medium,Low,2.048452750128648
9,7,1,No,3,High,Medium,Medium,2.6954295197742364
9,4,1,Yes,6,High,High,Medium,3.017904693072957
1,5,2,No,1,Medium,High,High,2.860141137686555
8,6,4,Yes,1,Medium,Medium,High,2.106835394457515
7,4,2,No,6,Low,Low,High,3.183399329217597
3,6,2,Yes,3,Medium,High,Low,2.1888117310835336
8,6,2,Yes,0,High,Medium,High,2.2726465386619408
6,6,4,No,2,Low,High,Low,3.2565996311527963
4,4,1,Yes,6,Low,High,High,2.589904748367162
10,8,2,Yes,3,Medium,Medium,Medium,3.1527305660645277
7,7,4,Yes,0,Low,Low,Medium,2.961926152142818
10,6,5,Yes,6,High,Medium,Low,2.30323209040784
2,6,2,No,2,Medium,Low,Medium,3.4242578068597194
6,5,1,No,0,High,High,Low,3.3799476677299776
2,6,3,No,3,Low,Low,Low,3.5435876158225654
9,9,4,No,6,Medium,High,High,2.663974847358886
4,5,4,No,4,Low,Low,High,2.8048159803719175
1,7,4,Yes,6,Medium,Low,High,2.271456666556433
9,9,5,No,0,Low,Low,Low,3.6982358411475014
4,7,1,Yes,1,Low,High,High,2.195495192826161
6,6,4,Yes,5,Low,Low,Medium,2.9709981137893733
3,9,5,No,4,High,High,Low,2.1048019599030496
1,5,4,No,0,Low,Medium,High,3.9093543205160683
3,4,1,No,6,High,Medium,High,2.64447650751307
9,8,1,Yes,0,High,Low,Medium,3.091644199353909
2,5,4,Yes,6,Low,Medium,High,2.7037412684045927
10,8,1,Yes,4,Medium,Medium,Medium,2.590019790875913
2,6,1,Yes,4,Low,Low,Medium,3.5625455653994873
1,6,2,No,5,High,Medium,Low,3.181468125485867
5,4,3,Yes,5,Medium,High,Low,2.7699980554797596
8,6,1,Yes,6,High,High,Medium,2.621661559100942
2,7,5,No,2,Low,Low,Low,2.1636496189616525
5,7,3,No,4,Low,Low,High,3.0708174309351284
6,6,0,No,2,High,Medium,Low,3.3398926654493124
4,6,1,No,5,High,Low,Medium,2.8887252701838624
7,4,3,No,3,Medium,High,High,3.5894433608188274
11,4,1,No,6,Medium,Medium,Medium,3.0270370382204983
5,6,5,No,2,Medium,Medium,High,3.0992738604633496
2,7,4,No,6,High,Low,Medium,3.267337564960151
1,4,2,No,5,Low,Medium,High,3.044774617290069
2,7,4,Yes,6,High,Medium,High,3.7453720163840134
3,7,2,Yes,0,Low,Medium,High,3.0241797255846468
2,8,0,No,3,Medium,High,High,2.1246011565214102
1,6,4,No,3,Medium,Low,Medium,3.6675617297335474
8,4,4,Yes,0,Low,Medium,Low,2.2319031586506326
1,9,4,No,1,High,Low,High,2.067732111735583
9,9,0,No,0,Low,Low,Medium,2.3353959206559107
2,7,0,No,4,High,Low,Low,2.9114240788118715
5,4,1,No,3,Low,Low,High,2.7144621990667814
10,9,4,Yes,2,Medium,Medium,High,2.168351055285191
8,9,1,Yes,3,Low,Low,High,3.393188258824969
7,5,5,No,1,High,High,Medium,2.638228128498709
10,6,2,No,6,Medium,Low,Low,2.344152603658686
2,9,3,No,0,Low,Medium,Low,3.1776040035075948
1,8,3,Yes,1,High,Medium,Low,2.0498755381485037
5,4,1,Yes,2,Medium,High,Low,2.4171385879802436
4,9,3,Yes,2,Low,High,Medium,3.529408978627516
1,5,3,No,5,Low,Low,Medium,3.7567375411860855
7,4,0,Yes,0,High,High,Medium,2.2129691727470386
5,9,0,No,6,High,Medium,High,2.3121273465202474
8,7,2,No,4,Medium,Low,Medium,3.172051071608075
6,6,2,Yes,2,Low,Medium,Medium,2.3275206732844316
1,7,0,No,2,Low,Medium,Medium,3.914891064538933
1,6,5,Yes,5,Low,Medium,Medium,3.3161990499733216
11,5,5,Yes,4,Medium,Low,High,2.162282334016007
8,4,5,Yes,0,Low,Low,Low,3.966206507181857
8,4,0,No,1,Low,High,Low,2.004858678905362
3,9,5,Yes,2,Low,Medium,High,2.965677092541564
9,8,1,No,3,Low,High,High,3.9988909344541694
9,6,2,Yes,1,Medium,Medium,Medium,3.7308955292970207
9,6,1,No,1,High,High,High,3.5361886325930882
3,6,0,No,4,Medium,High,Medium,2.697248764147689
11,5,4,No,4,Medium,Medium,Low,2.8230794173430667
11,5,3,No,1,Low,Low,High,3.559698527828846
10,6,5,Yes,6,High,High,High,3.416990614953253
6,6,4,Yes,2,High,High,Low,3.6581368157165874
8,8,3,No,2,Medium,Low,High,3.5964055977704854
9,6,3,No,2,Medium,High,High,3.910256948459409
6,5,0,Yes,5,High,Medium,Low,3.160234816294219
11,8,4,No,6,Low,Medium,Medium,2.954921562693729
2,6,4,Yes,2,High,Low,High,3.5146365706951204
1,9,2,No,0,Medium,High,Low,2.603133321830499
10,4,4,Yes,0,Low,Medium,Medium,2.098345172064218
9,4,4,Yes,2,Medium,Medium,Low,3.4970682829175637
11,8,3,Yes,0,Medium,Medium,Medium,3.040905788380279
4,5,1,No,3,High,High,High,2.2985727852941436
9,8,5,No,4,Low,High,Medium,3.839701087915567
4,8,4,Yes,3,High,High,High,3.332404893626904
10,5,4,Yes,0,High,Low,High,2.0188072431732436
9,7,5,No,3,Low,Low,Low,3.2907160840538596
10,8,3,No,5,High,Medium,Medium,2.8604542942496374
6,4,5,Yes,1,High,Low,High,2.9585170039423536
11,4,2,No,4,Low,Medium,Low,3.020097871609954
8,9,4,Yes,5,High,Medium,High,2.8862192224440846
4,4,5,No,6,Low,High,Medium,3.4688445504118857
6,4,5,No,4,High,Medium,Medium,3.1677781946189416
5,9,1,No,4,High,High,Medium,2.351390766958311
